     Risultato medio     Std  min_samples_split  min_samples_leaf  max_depth       criterion
1             0.8942  0.0193                9.0              20.0       20.0   squared_error
2             0.8942  0.0193                4.0              20.0        NaN   squared_error
3             0.8941  0.0192                3.0              20.0       50.0   squared_error
3             0.8941  0.0192               18.0              20.0       20.0   squared_error
5             0.8941  0.0192                5.0              20.0       50.0   squared_error
5             0.8941  0.0192               10.0              20.0       20.0   squared_error
7             0.8935  0.0183               15.0              19.0       10.0   squared_error
8             0.8931  0.0188               11.0              19.0       50.0   squared_error
9             0.8931  0.0189               16.0              19.0       50.0   squared_error
10            0.8921  0.0221                6.0              14.0       20.0   squared_error
11            0.8921  0.0220               18.0              14.0       20.0   squared_error
12            0.8919  0.0200                5.0              18.0       10.0   squared_error
13            0.8918  0.0227               17.0              14.0       30.0   squared_error
14            0.8918  0.0208                7.0              20.0       30.0  absolute_error
15            0.8918  0.0208               11.0              20.0       10.0  absolute_error
16            0.8918  0.0208               19.0              20.0       20.0  absolute_error
17            0.8917  0.0227               15.0              14.0       50.0   squared_error
18            0.8917  0.0227               19.0              14.0       30.0   squared_error
19            0.8917  0.0226               20.0              14.0       30.0   squared_error
20            0.8917  0.0210                5.0              20.0       30.0  absolute_error
21            0.8916  0.0205                2.0              18.0       20.0   squared_error
21            0.8916  0.0205               12.0              18.0        NaN   squared_error
23            0.8916  0.0203                3.0              18.0       30.0   squared_error
23            0.8916  0.0203               17.0              18.0       50.0   squared_error
25            0.8916  0.0204               11.0              18.0       20.0   squared_error
26            0.8914  0.0189                4.0              18.0       50.0  absolute_error
27            0.8914  0.0189                5.0              18.0       20.0  absolute_error
28            0.8913  0.0191               19.0              18.0       20.0  absolute_error
29            0.8912  0.0191                5.0              18.0       30.0  absolute_error
30            0.8912  0.0202                3.0              16.0       20.0  absolute_error
31            0.8911  0.0200               14.0              16.0       20.0  absolute_error
32            0.8911  0.0202               15.0              16.0       10.0  absolute_error
33            0.8910  0.0208                3.0              16.0       30.0   squared_error
33            0.8910  0.0208                4.0              16.0        NaN   squared_error
35            0.8909  0.0207               13.0              16.0        NaN   squared_error
36            0.8909  0.0208                9.0              16.0       50.0   squared_error
37            0.8906  0.0213               11.0              16.0        NaN   squared_error
38            0.8906  0.0213                6.0              16.0       20.0   squared_error
39            0.8905  0.0217                2.0              17.0       30.0   squared_error
39            0.8905  0.0217               17.0              17.0       30.0   squared_error
41            0.8905  0.0199               11.0              17.0       50.0  absolute_error
42            0.8904  0.0202               18.0              19.0       30.0  absolute_error
43            0.8902  0.0222               10.0              17.0       50.0   squared_error
44            0.8902  0.0221               20.0              17.0       30.0   squared_error
45            0.8900  0.0206               17.0              15.0       20.0  absolute_error
46            0.8899  0.0206               11.0              15.0       50.0   squared_error
47            0.8898  0.0201               16.0              13.0       10.0  absolute_error
48            0.8898  0.0201               19.0              13.0       10.0  absolute_error
49            0.8897  0.0202               13.0              13.0        NaN  absolute_error
50            0.8896  0.0201               15.0              13.0       50.0  absolute_error
51            0.8896  0.0202               19.0              13.0       50.0  absolute_error
52            0.8896  0.0212                6.0              15.0        NaN   squared_error
53            0.8895  0.0202               15.0              13.0        NaN  absolute_error
54            0.8894  0.0225               13.0              13.0       30.0   squared_error
55            0.8894  0.0224               15.0              13.0       30.0   squared_error
56            0.8894  0.0224                6.0              13.0       20.0   squared_error
57            0.8885  0.0198               14.0              14.0       20.0  absolute_error
57            0.8885  0.0198                8.0              14.0       20.0  absolute_error
59            0.8885  0.0198               13.0              14.0        NaN  absolute_error
60            0.8885  0.0198               20.0              14.0       10.0  absolute_error
61            0.8883  0.0203                9.0              14.0        NaN  absolute_error
62            0.8882  0.0203               17.0              14.0       30.0  absolute_error
63            0.8881  0.0203                8.0              14.0       10.0  absolute_error
64            0.8879  0.0213                3.0              12.0       50.0  absolute_error
65            0.8878  0.0213               20.0              12.0       30.0  absolute_error
66            0.8878  0.0213                2.0              12.0        NaN  absolute_error
67            0.8858  0.0230                3.0              12.0        NaN   squared_error
68            0.8850  0.0208                4.0              11.0       20.0  absolute_error
69            0.8850  0.0207                5.0              11.0       50.0  absolute_error
70            0.8849  0.0208               18.0              11.0       20.0  absolute_error
71            0.8849  0.0209                3.0              11.0       50.0  absolute_error
72            0.8841  0.0205               11.0              11.0       30.0   squared_error
73            0.8840  0.0205                3.0              11.0       20.0   squared_error
74            0.8840  0.0207               18.0              11.0       50.0   squared_error
75            0.8840  0.0206               15.0              11.0       50.0   squared_error
76            0.8840  0.0207                2.0              11.0       30.0   squared_error
77            0.8838  0.0209               17.0              11.0       10.0   squared_error
78            0.8810  0.0252               17.0              10.0       20.0  absolute_error
79            0.8806  0.0252               19.0              10.0       20.0  absolute_error
80            0.8806  0.0254                9.0              10.0       20.0  absolute_error
81            0.8805  0.0253               20.0              10.0        NaN  absolute_error
82            0.8803  0.0203                2.0              10.0       30.0   squared_error
83            0.8801  0.0204                5.0              10.0        NaN   squared_error
84            0.8800  0.0207                4.0              10.0       30.0   squared_error
85            0.8796  0.0203               14.0               9.0       10.0   squared_error
86            0.8792  0.0209               15.0               9.0       30.0   squared_error
87            0.8790  0.0209                5.0               9.0       50.0   squared_error
88            0.8789  0.0249               20.0               9.0       50.0  absolute_error
89            0.8787  0.0214               17.0               9.0       50.0   squared_error
90            0.8785  0.0217                7.0               9.0        NaN   squared_error
91            0.8785  0.0216               13.0               9.0       50.0   squared_error
92            0.8780  0.0253               11.0               9.0        NaN  absolute_error
93            0.8780  0.0248                8.0               9.0       50.0  absolute_error
94            0.8779  0.0242               12.0               9.0       10.0  absolute_error
95            0.8778  0.0249                2.0               9.0       30.0  absolute_error
96            0.8745  0.0211               17.0               8.0       50.0   squared_error
97            0.8745  0.0203                3.0               8.0       10.0   squared_error
98            0.8739  0.0212                3.0               8.0        NaN   squared_error
99            0.8738  0.0212                2.0               8.0       30.0   squared_error
100           0.8738  0.0213               11.0               8.0       50.0   squared_error
101           0.8738  0.0213               14.0               8.0       30.0   squared_error
102           0.8736  0.0214               10.0               8.0       20.0   squared_error
103           0.8726  0.0265               14.0               8.0       20.0  absolute_error
104           0.8726  0.0254               20.0               6.0       20.0  absolute_error
105           0.8713  0.0270               17.0               7.0       20.0  absolute_error
106           0.8713  0.0249               18.0               6.0       30.0  absolute_error
107           0.8703  0.0254               10.0               7.0       10.0  absolute_error
108           0.8695  0.0238               18.0               5.0       20.0  absolute_error
109           0.8694  0.0261               12.0               7.0       20.0  absolute_error
