,Risultato medio,Std,KNN__metric,KNN__n_neighbors,KNN__p,KNN__weights
1,0.8796,0.0171,minkowski,11.0,1.0,distance
2,0.8795,0.0173,minkowski,10.0,1.0,distance
3,0.8795,0.0165,minkowski,13.0,1.0,distance
4,0.8794,0.017,minkowski,12.0,1.0,distance
5,0.8792,0.0164,minkowski,15.0,1.0,distance
6,0.8791,0.0164,minkowski,14.0,1.0,distance
7,0.8788,0.0161,minkowski,16.0,1.0,distance
8,0.8784,0.0177,minkowski,7.0,1.0,distance
9,0.8784,0.0158,minkowski,11.0,2.0,distance
10,0.8783,0.0177,minkowski,9.0,1.0,distance
11,0.8782,0.0161,minkowski,10.0,2.0,distance
12,0.8782,0.0164,minkowski,9.0,2.0,distance
13,0.8781,0.017,minkowski,8.0,2.0,distance
14,0.8781,0.0171,minkowski,8.0,1.0,distance
15,0.878,0.0161,minkowski,13.0,2.0,distance
16,0.8779,0.0175,minkowski,11.0,1.0,uniform
17,0.8779,0.0158,minkowski,17.0,1.0,distance
18,0.8779,0.0177,minkowski,10.0,1.0,uniform
19,0.8778,0.0159,minkowski,18.0,1.0,distance
20,0.8777,0.0158,minkowski,12.0,2.0,distance
21,0.8777,0.0157,minkowski,19.0,1.0,distance
22,0.8775,0.0169,minkowski,13.0,1.0,uniform
23,0.8775,0.0175,minkowski,12.0,1.0,uniform
24,0.8774,0.0169,minkowski,17.0,2.0,distance
25,0.8774,0.0164,minkowski,14.0,2.0,distance
26,0.8772,0.0166,minkowski,7.0,2.0,distance
27,0.8771,0.0168,minkowski,19.0,2.0,distance
28,0.8771,0.0168,minkowski,15.0,1.0,uniform
29,0.8771,0.018,minkowski,7.0,1.0,uniform
30,0.8771,0.0169,minkowski,16.0,2.0,distance
31,0.877,0.0158,minkowski,20.0,1.0,distance
32,0.877,0.018,minkowski,6.0,1.0,distance
33,0.877,0.017,minkowski,18.0,2.0,distance
34,0.877,0.0168,minkowski,14.0,1.0,uniform
35,0.8769,0.0176,minkowski,8.0,2.0,uniform
36,0.8768,0.0162,minkowski,11.0,2.0,uniform
37,0.8768,0.0168,minkowski,20.0,2.0,distance
38,0.8767,0.0168,minkowski,9.0,2.0,uniform
39,0.8767,0.0166,minkowski,10.0,2.0,uniform
40,0.8767,0.0165,minkowski,16.0,1.0,uniform
41,0.8765,0.0182,minkowski,9.0,1.0,uniform
42,0.8764,0.0167,minkowski,15.0,2.0,distance
43,0.8764,0.0174,minkowski,8.0,1.0,uniform
44,0.8763,0.0166,minkowski,13.0,2.0,uniform
45,0.876,0.017,minkowski,7.0,2.0,uniform
46,0.876,0.0162,minkowski,12.0,2.0,uniform
47,0.8759,0.0184,minkowski,6.0,1.0,uniform
48,0.8755,0.0163,minkowski,17.0,1.0,uniform
49,0.8754,0.0164,minkowski,18.0,1.0,uniform
50,0.8754,0.0175,minkowski,17.0,2.0,uniform
51,0.8754,0.0169,minkowski,14.0,2.0,uniform
52,0.8753,0.0161,minkowski,19.0,1.0,uniform
53,0.8751,0.0174,minkowski,19.0,2.0,uniform
54,0.8751,0.0175,minkowski,16.0,2.0,uniform
55,0.875,0.0175,minkowski,18.0,2.0,uniform
56,0.8747,0.0173,minkowski,20.0,2.0,uniform
57,0.8746,0.0163,minkowski,20.0,1.0,uniform
58,0.8745,0.0172,minkowski,6.0,2.0,distance
59,0.8743,0.0173,minkowski,15.0,2.0,uniform
60,0.8742,0.0182,minkowski,5.0,1.0,distance
61,0.8733,0.0177,minkowski,6.0,2.0,uniform
62,0.8732,0.0185,minkowski,5.0,1.0,uniform
63,0.8723,0.0183,minkowski,5.0,2.0,distance
64,0.8714,0.0189,minkowski,5.0,2.0,uniform
65,0.8704,0.0166,minkowski,4.0,1.0,distance
66,0.8695,0.0166,minkowski,4.0,1.0,uniform
67,0.8661,0.0195,minkowski,4.0,2.0,distance
68,0.8653,0.0202,minkowski,4.0,2.0,uniform
69,0.8633,0.0178,minkowski,3.0,1.0,distance
70,0.8626,0.0179,minkowski,3.0,1.0,uniform
71,0.8577,0.0194,minkowski,3.0,2.0,distance
72,0.8569,0.0199,minkowski,3.0,2.0,uniform
73,0.8488,0.0279,chebyshev,15.0,-,distance
74,0.8488,0.0269,chebyshev,10.0,-,distance
75,0.8488,0.0248,chebyshev,8.0,-,distance
76,0.8484,0.0262,chebyshev,9.0,-,distance
77,0.8484,0.0283,chebyshev,16.0,-,distance
78,0.8484,0.0278,chebyshev,12.0,-,distance
79,0.8482,0.0188,minkowski,2.0,1.0,distance
80,0.8481,0.0262,chebyshev,11.0,-,distance
81,0.8478,0.0296,chebyshev,17.0,-,distance
82,0.8476,0.0184,minkowski,2.0,1.0,uniform
83,0.8475,0.0282,chebyshev,13.0,-,distance
84,0.8475,0.0301,chebyshev,18.0,-,distance
85,0.8473,0.0267,chebyshev,14.0,-,distance
86,0.8469,0.0254,chebyshev,8.0,-,uniform
87,0.8469,0.0303,chebyshev,19.0,-,distance
88,0.8466,0.0278,chebyshev,10.0,-,uniform
89,0.8464,0.029,chebyshev,15.0,-,uniform
90,0.8463,0.0263,chebyshev,7.0,-,distance
91,0.8463,0.0271,chebyshev,9.0,-,uniform
92,0.846,0.0315,chebyshev,20.0,-,distance
93,0.846,0.029,chebyshev,12.0,-,uniform
94,0.846,0.0294,chebyshev,16.0,-,uniform
95,0.8458,0.0271,chebyshev,11.0,-,uniform
96,0.8452,0.031,chebyshev,17.0,-,uniform
97,0.845,0.0255,chebyshev,6.0,-,distance
98,0.845,0.0293,chebyshev,13.0,-,uniform
99,0.8448,0.0315,chebyshev,18.0,-,uniform
100,0.8448,0.0276,chebyshev,14.0,-,uniform
101,0.8445,0.0273,chebyshev,7.0,-,uniform
102,0.8442,0.0316,chebyshev,19.0,-,uniform
103,0.8433,0.0266,chebyshev,6.0,-,uniform
104,0.8432,0.0331,chebyshev,20.0,-,uniform
105,0.8418,0.0232,chebyshev,5.0,-,distance
106,0.8415,0.0184,minkowski,2.0,2.0,distance
107,0.841,0.0183,minkowski,2.0,2.0,uniform
108,0.84,0.0241,chebyshev,5.0,-,uniform
109,0.8379,0.0197,chebyshev,4.0,-,distance
110,0.8366,0.0202,chebyshev,4.0,-,uniform
111,0.8304,0.0218,chebyshev,3.0,-,distance
112,0.8296,0.0223,chebyshev,3.0,-,uniform
113,0.807,0.0317,chebyshev,2.0,-,distance
114,0.8057,0.0329,chebyshev,2.0,-,uniform
115,0.7972,0.0407,minkowski,1.0,1.0,distance
115,0.7972,0.0407,minkowski,1.0,1.0,uniform
117,0.7967,0.025,minkowski,1.0,2.0,distance
117,0.7967,0.025,minkowski,1.0,2.0,uniform
119,0.7532,0.0311,chebyshev,1.0,-,uniform
119,0.7532,0.0311,chebyshev,1.0,-,distance
