,p,T,Tdew,rh,VPmax,VPact,VPdef,sh,H2OC,rho,wv,max_wv,wd,TMax,TMin
2009-01-01,999.146,-6.811,-8.016,91.086,3.691,3.356,0.335,2.091,3.358,1305.178,0.779,1.378,181.863,-4.170,-9.910
2009-01-02,999.601,-3.728,-4.825,92.087,4.640,4.267,0.373,2.660,4.269,1290.353,1.420,2.227,125.072,-2.120,-4.970
2009-01-03,998.549,-5.272,-9.016,76.458,4.185,3.108,1.077,1.938,3.112,1297.117,1.251,2.065,190.383,-0.820,-10.000
2009-01-04,988.511,-1.375,-2.897,89.417,5.524,4.939,0.585,3.114,4.997,1264.635,1.720,3.565,213.070,-0.630,-2.540
2009-01-05,990.406,-4.867,-6.797,86.260,4.363,3.807,0.556,2.397,3.848,1284.373,3.800,5.940,118.287,-1.440,-12.540
2009-01-06,997.053,-15.483,-17.608,83.775,1.855,1.542,0.313,0.963,1.547,1347.268,1.227,2.098,156.915,-10.880,-21.080
2009-01-07,993.506,-15.734,-17.556,85.660,1.983,1.721,0.262,1.078,1.731,1344.270,0.723,1.483,161.920,-7.450,-23.010
2009-01-08,1002.970,-9.609,-11.306,87.583,3.007,2.601,0.406,1.615,2.594,1324.563,0.870,1.444,182.944,-4.060,-13.890
2009-01-09,1003.113,-12.301,-14.541,83.976,2.484,2.020,0.465,1.253,2.014,1338.893,0.664,1.238,166.948,-3.610,-17.190
2009-01-10,1002.968,-10.728,-13.282,82.341,2.825,2.239,0.586,1.390,2.233,1330.586,0.666,1.307,161.756,-2.240,-16.040
2009-01-11,1004.007,-8.682,-11.109,83.409,3.300,2.653,0.647,1.646,2.643,1321.397,1.235,2.290,164.000,-0.130,-13.930
2009-01-12,998.495,-5.385,-9.769,72.444,4.250,2.927,1.324,1.825,2.931,1297.863,2.460,3.697,190.860,2.320,-10.850
2009-01-13,990.147,-1.678,-8.202,61.787,5.539,3.299,2.241,2.076,3.332,1269.124,2.480,3.788,187.238,4.900,-5.300
2009-01-14,987.588,-4.688,-7.593,80.622,4.458,3.547,0.911,2.237,3.591,1279.959,0.853,1.685,167.753,0.430,-10.550
2009-01-15,994.107,-0.061,-1.367,91.103,6.133,5.545,0.588,3.477,5.578,1265.466,0.644,1.261,143.193,4.520,-3.930
2009-01-16,997.548,-2.816,-3.847,92.760,5.005,4.607,0.398,2.878,4.619,1283.243,1.600,2.346,189.597,1.170,-5.210
2009-01-17,992.133,0.040,-1.756,87.703,6.169,5.400,0.769,3.393,5.444,1262.552,2.146,3.392,176.174,2.740,-2.790
2009-01-18,979.144,2.563,-0.118,82.755,7.379,6.059,1.320,3.858,6.188,1234.257,2.974,4.623,197.364,5.310,-0.400
2009-01-19,972.794,2.525,-0.664,79.507,7.355,5.861,1.495,3.758,6.028,1226.503,3.322,5.065,185.583,4.270,0.140
2009-01-20,971.308,3.184,-0.066,79.514,7.791,6.122,1.669,3.931,6.305,1221.674,2.083,3.217,206.101,6.800,-2.820
2009-01-21,980.205,-1.548,-2.576,92.781,5.483,5.062,0.421,3.218,5.164,1254.760,0.653,1.211,173.946,1.300,-3.450
2009-01-22,978.411,-1.126,-3.148,86.731,5.693,4.847,0.846,3.087,4.954,1250.693,2.805,4.253,180.191,3.050,-3.980
2009-01-23,955.510,1.460,-1.986,78.071,6.902,5.373,1.529,3.511,5.632,1209.713,5.104,7.738,185.427,5.770,-1.590
2009-01-24,961.125,2.580,-1.594,74.634,7.383,5.451,1.932,3.537,5.673,1211.682,2.986,4.660,215.714,5.410,0.220
2009-01-25,974.051,0.985,-1.714,83.009,6.657,5.394,1.262,3.452,5.539,1235.258,0.926,1.667,173.246,6.310,-3.200
2009-01-26,977.231,-3.285,-3.750,96.564,4.815,4.649,0.167,2.963,4.757,1259.188,1.410,2.154,102.756,-1.100,-5.860
2009-01-27,986.111,-1.344,-1.481,98.996,5.535,5.479,0.057,3.463,5.556,1261.153,2.238,3.323,26.477,-1.040,-1.760
2009-01-28,992.824,-2.494,-3.038,96.074,5.085,4.887,0.198,3.067,4.922,1275.438,0.000,0.000,0.000,-1.630,-3.160
2009-01-29,996.851,-2.371,-4.037,88.331,5.132,4.528,0.604,2.830,4.542,1280.215,1.589,2.800,45.310,-1.740,-3.360
2009-01-30,998.914,-2.396,-5.211,80.938,5.121,4.144,0.977,2.584,4.148,1283.173,2.111,3.740,64.583,-1.840,-3.030
2009-01-31,994.376,-2.002,-3.669,88.440,5.275,4.662,0.613,2.921,4.688,1275.225,2.587,4.007,42.531,-0.790,-2.930
2009-02-01,985.761,-3.360,-5.752,83.507,4.767,3.975,0.791,2.513,4.034,1270.863,3.939,6.172,44.649,-2.500,-4.430
2009-02-02,979.956,-0.730,-3.673,80.693,5.877,4.694,1.182,2.986,4.792,1250.938,1.483,2.512,126.700,3.710,-5.130
2009-02-03,973.867,-0.044,-1.869,88.182,6.232,5.353,0.879,3.426,5.497,1239.756,0.483,0.971,150.998,7.640,-3.540
2009-02-04,972.084,-1.017,-2.228,91.938,5.800,5.233,0.567,3.356,5.384,1241.962,0.858,1.478,168.882,4.890,-5.030
2009-02-05,972.001,1.840,-0.377,85.965,7.079,5.955,1.124,3.819,6.126,1228.559,1.806,2.834,184.189,6.430,-1.570
2009-02-06,968.309,2.576,-0.303,82.055,7.524,6.001,1.523,3.864,6.198,1220.661,1.393,2.307,169.808,9.120,-1.260
2009-02-07,961.901,1.401,-0.691,86.275,6.856,5.843,1.013,3.787,6.074,1217.756,1.282,2.204,205.085,6.090,-2.310
2009-02-08,973.690,1.103,-3.046,74.491,6.639,4.931,1.709,3.158,5.067,1234.427,1.875,3.762,250.540,4.410,-2.160
2009-02-09,979.931,-0.205,-4.534,73.160,6.062,4.363,1.699,2.774,4.452,1248.596,3.242,4.684,189.506,3.010,-3.030
2009-02-10,964.114,2.502,0.156,84.959,7.414,6.222,1.191,4.026,6.457,1215.540,4.995,7.750,204.819,7.060,-0.900
2009-02-11,979.376,0.275,-2.919,79.437,6.239,4.933,1.306,3.140,5.038,1245.369,2.925,5.711,263.021,2.070,-0.780
2009-02-12,986.770,-1.433,-4.940,77.470,5.516,4.251,1.265,2.684,4.309,1263.025,2.099,3.751,212.597,1.440,-3.100
2009-02-13,989.274,-1.345,-3.621,84.924,5.575,4.695,0.879,2.958,4.747,1265.644,1.518,2.711,243.256,1.480,-4.720
2009-02-14,994.987,-3.620,-5.663,85.746,4.699,4.043,0.656,2.533,4.065,1284.029,1.707,2.984,191.960,-0.690,-5.740
2009-02-15,998.702,-4.306,-7.133,81.173,4.506,3.593,0.914,2.241,3.598,1292.413,2.151,3.451,197.514,-0.720,-8.630
2009-02-16,991.010,0.182,-1.659,87.492,6.229,5.433,0.797,3.417,5.483,1260.432,2.182,3.813,222.264,2.410,-3.050
2009-02-17,991.298,-2.414,-4.366,86.920,5.148,4.515,0.633,2.841,4.559,1273.361,2.833,4.419,73.184,0.170,-5.500
2009-02-18,999.413,-4.156,-7.394,78.738,4.515,3.509,1.007,2.186,3.510,1292.566,1.461,2.606,218.780,-0.190,-7.790
2009-02-19,997.853,-4.658,-8.782,74.359,4.539,3.186,1.352,1.989,3.194,1293.454,1.745,2.793,198.204,1.660,-11.130
