,Risultato medio,Std,svr__kernel,svr__gamma,svr__epsilon,svr__degree,svr__C
1,0.9136,0.0145,poly,0.39,0.33,3.0,0.8
2,0.9128,0.014,poly,0.32,0.09,3.0,1.2
3,0.9127,0.0138,poly,0.36,0.18,3.0,0.8
4,0.9124,0.0134,poly,0.36,0.09,2.0,1.0
5,0.912,0.0134,poly,0.31,0.16,3.0,1.0
6,0.9118,0.0133,poly,0.32,0.09,2.0,1.1
7,0.9116,0.0132,poly,0.31,0.18,2.0,1.1
8,0.9109,0.0132,poly,0.39,0.09,2.0,0.6
9,0.91,0.0132,poly,0.36,0.01,2.0,0.6
10,0.9096,0.0146,poly,0.31,0.02,4.0,1.1
11,0.9082,0.0142,poly,0.29,0.32,4.0,0.7
12,0.908,0.0145,poly,0.31,0.16,4.0,0.6
13,0.9075,0.0129,poly,0.29,0.26,3.0,0.6
14,0.9074,0.0151,poly,0.31,0.02,4.0,0.6
15,0.9069,0.0132,poly,0.29,0.03,2.0,0.6
16,0.9068,0.0134,poly,0.33,0.1,3.0,0.4
17,0.9053,0.0132,poly,0.26,0.32,2.0,0.6
18,0.9042,0.0135,poly,0.36,0.32,3.0,0.2
19,0.9028,0.0138,poly,0.33,0.09,2.0,0.3
20,0.9027,0.0137,poly,0.2,0.27,2.0,0.8
21,0.902,0.0136,poly,0.26,0.27,3.0,0.4
22,0.8997,0.0149,poly,0.29,0.18,2.0,0.3
23,0.8962,0.0166,poly,0.16,0.27,2.0,0.8
24,0.8948,0.018,poly,0.31,0.26,4.0,0.1
25,0.8941,0.015,poly,0.32,0.26,3.0,0.1
26,0.8937,0.0218,rbf,0.31,0.15,-,1.6
27,0.8905,0.0194,poly,0.39,0.1,2.0,0.1
28,0.8855,0.0263,rbf,0.33,0.37,-,1.1
29,0.8849,0.0219,poly,0.26,0.1,4.0,0.1
30,0.8848,0.0216,poly,0.08,0.18,2.0,1.9
31,0.8795,0.0224,rbf,0.05,0.03,-,1.1
32,0.8756,0.0327,rbf,0.39,0.37,-,0.8
33,0.8743,0.0332,rbf,0.33,0.12,-,0.7
34,0.8684,0.0265,rbf,0.08,0.09,-,0.6
35,0.8676,0.0276,rbf,0.08,0.01,-,0.6
36,0.8656,0.0262,rbf,0.05,0.09,-,0.7
37,0.863,0.0269,poly,0.09,0.12,2.0,0.8
38,0.8593,0.024,poly,0.09,0.1,4.0,1.9
39,0.8416,0.0474,rbf,0.28,0.01,-,0.3
40,0.8335,0.0372,poly,0.16,0.33,3.0,0.1
41,0.8263,0.0331,poly,0.08,0.02,4.0,1.2
42,0.8237,0.0511,rbf,0.2,0.09,-,0.2
43,0.814,0.0532,rbf,0.05,0.12,-,0.3
44,0.7965,0.0374,poly,0.05,0.17,2.0,0.7
45,0.751,0.0978,rbf,0.36,0.12,-,0.1
46,0.7339,0.0562,poly,0.08,0.09,4.0,0.3
47,0.7264,0.1133,rbf,0.09,0.03,-,0.1
48,0.715,0.0576,poly,0.05,0.37,4.0,1.6
49,0.7093,0.0758,poly,0.08,0.26,2.0,0.1
50,0.6414,0.1535,rbf,0.05,0.09,-,0.1
